dataset,variable,storage_type,stata_variable_label,definition,nonmissing_count,missing_count,unique_nonmissing,value_label_mappings_in_dataset,manuscript_definition,manuscript_source,documentation_status
master_data.dta,pre5,float32,,Event-time indicator for five or more years before treatment.,4544,0,2,,,,Not fully documented in the supplied manuscript.
master_data.dta,pre4,float32,,Event-time indicator for four years before treatment.,4544,0,2,,,,Not fully documented in the supplied manuscript.
master_data.dta,pre3,float32,,Event-time indicator for three years before treatment.,4544,0,2,,,,Not fully documented in the supplied manuscript.
master_data.dta,pre2,float32,,Event-time indicator for two years before treatment.,4544,0,2,,,,Not fully documented in the supplied manuscript.
master_data.dta,pre1,float32,,Event-time indicator for one year before treatment; reference period in the event-study specification.,4544,0,2,,,,Not fully documented in the supplied manuscript.
master_data.dta,current,float32,,Event-time indicator for the treatment year.,4544,0,2,,,,Not fully documented in the supplied manuscript.
master_data.dta,post1,float32,,Event-time indicator for one year after treatment.,4544,0,2,,,,Not fully documented in the supplied manuscript.
master_data.dta,post2,float32,,Event-time indicator for two years after treatment.,4544,0,2,,,,Not fully documented in the supplied manuscript.
master_data.dta,post3,float32,,Event-time indicator for three years after treatment.,4544,0,2,,,,Not fully documented in the supplied manuscript.
master_data.dta,post4,float32,,Event-time indicator for four years after treatment.,4544,0,2,,,,Not fully documented in the supplied manuscript.
master_data.dta,post5,float32,,Event-time indicator for five or more years after treatment.,4544,0,2,,,,Not fully documented in the supplied manuscript.
master_data.dta,gdp,float64,插值后GDP的对数,Logarithm of interpolated GDP.,4544,0,4191,,Natural logarithm of city GDP.,"China City Statistical Yearbook (2009-2024), supplemented by prefecture-level statistical yearbooks and official statistical bulletins.",Documented in the manuscript; verify against construction code before release.
master_data.dta,fin,float64,插值后金融机构贷款余额与GDP的对数,"Logarithm of interpolated financial-institution loan balance relative to GDP, as labelled in the supplied Stata file.",4544,0,4453,,Financial development measured in the manuscript as outstanding loans of financial institutions divided by city GDP at year-end.,"China City Statistical Yearbook (2009-2024), supplemented by prefecture-level statistical yearbooks and official statistical bulletins.","Conflict: manuscript defines loans/GDP, while the embedded Stata label refers to an interpolated logarithmic measure. Confirm the actual transformation."
master_data.dta,stru,float32,产业结构升级,Industrial structure upgrading measure; formula and source must be documented before publication.,4544,0,3319,,"Industrial upgrading index: sum across the primary, secondary and tertiary sectors of each sector's value-added share multiplied by sector rank 1, 2 or 3.","China City Statistical Yearbook (2009-2024), supplemented by prefecture-level statistical yearbooks and official statistical bulletins.",Documented in the manuscript; verify against construction code before release.
master_data.dta,wage,float32,职工平均工资的对数,Logarithm of average employee wage.,4544,0,4401,,Natural logarithm of the average wage of urban employees.,"China City Statistical Yearbook (2009-2024), supplemented by prefecture-level statistical yearbooks and official statistical bulletins.",Documented in the manuscript; verify against construction code before release.
master_data.dta,gov,float64,财政预算支出与财政预算收入的支出比值,Ratio of fiscal budget expenditure to fiscal budget revenue.,4544,0,4452,,Fiscal pressure: local general budget expenditure divided by local general budget revenue.,"China City Statistical Yearbook (2009-2024), supplemented by prefecture-level statistical yearbooks and official statistical bulletins.",Documented in the manuscript; verify against construction code before release.
master_data.dta,human,float32,每万人在校大学生人数,"Number of enrolled university students per 10,000 people.",4544,0,4452,,Human capital measured in the manuscript as the number of university students per million residents.,"China City Statistical Yearbook (2009-2024), supplemented by prefecture-level statistical yearbooks and official statistical bulletins.","Conflict: manuscript states university students per million residents, while the embedded Stata label states per 10,000 residents. Confirm the denominator."
master_data.dta,pubservice,float64,插值后医院床位数的对数,Logarithm of interpolated hospital-bed count.,4544,0,4131,,Natural logarithm of the number of hospital beds.,"China City Statistical Yearbook (2009-2024), supplemented by prefecture-level statistical yearbooks and official statistical bulletins.",Documented in the manuscript; verify against construction code before release.
master_data.dta,tmp,float32,,Definition not supplied; complete before publication.,4544,0,4544,,,,Not fully documented in the supplied manuscript.
master_data.dta,Excludespecialsamples,int8,剔除直辖市样本,Indicator used to exclude municipality-level observations in a robustness test.,4544,0,2,,,,Not fully documented in the supplied manuscript.
master_data.dta,time,int8,剔除2020-2022年样本,Indicator used for the robustness sample excluding 2020-2022.,4544,0,2,,,,Not fully documented in the supplied manuscript.
master_data.dta,did1,int8,,Alternative treatment timing indicator used in a robustness specification; construction must be documented.,4544,0,2,,,,Not fully documented in the supplied manuscript.
master_data.dta,did2,int8,,Alternative treatment timing indicator used in a robustness specification; construction must be documented.,4544,0,2,,,,Not fully documented in the supplied manuscript.
master_data.dta,did3,int8,,Alternative treatment timing indicator used in a robustness specification; construction must be documented.,4544,0,2,,,,Not fully documented in the supplied manuscript.
master_data.dta,pop,float32,,Population control; unit and transformation must be documented.,4544,0,4453,,,,Not fully documented in the supplied manuscript.
master_data.dta,internet,float64,,Internet-related control; exact definition and unit must be documented.,4544,0,4451,,,,Not fully documented in the supplied manuscript.
master_data.dta,sy,int8,,Definition not supplied; complete before publication.,4544,0,33,,,,Not fully documented in the supplied manuscript.
master_data.dta,hl,float64,,Definition not supplied; complete before publication.,4544,0,284,,,,Not fully documented in the supplied manuscript.
master_data.dta,time_trend,float32,,Definition not supplied; complete before publication.,4544,0,16,,,,Not fully documented in the supplied manuscript.
master_data.dta,iv_sy,float32,,Shift-share style instrumental variable based on sy; exact construction must be documented.,3456,1088,438,,,,Not fully documented in the supplied manuscript.
master_data.dta,iv_hl,float32,,Instrumental variable based on hl; exact construction must be documented.,4544,0,4544,,,,Not fully documented in the supplied manuscript.
master_data.dta,level,int8,,City-level heterogeneity group indicator; coding must be documented.,4544,0,2,,"Administrative hierarchy. Based on the model order and reported coefficients, 1 appears to denote municipalities, sub-provincial cities and provincial capitals, and 0 general-tier cities; authors must confirm.",,Coding inferred from model order and coefficient matching; confirm with the data creator.
master_data.dta,area,int8,,Regional heterogeneity group indicator; coding must be documented.,4544,0,2,,"Geographic group. Based on the model order and reported coefficients, 1 appears to denote eastern cities and 0 central/western cities; authors must confirm the coding.",,Coding inferred from model order and coefficient matching; confirm with the data creator.
master_data.dta,resource_city,int8,,Resource-based-city indicator.,4544,0,2,,Resource-based city classification under the State Council's National Resource-based City Sustainable Development Plan (2013-2020); 1 denotes resource-based and 0 non-resource-based cities.,State Council National Resource-based City Sustainable Development Plan (2013-2020).,Documented in the manuscript; verify against construction code before release.
master_data.dta,market,float32,,Market-environment group indicator; coding threshold must be documented.,4544,0,2,,"Marketization group based on the annual median of the market integration index; model order indicates 1 is the high-marketization group and 0 the lower-marketization group, subject to author confirmation.",,Coding inferred from model order and coefficient matching; confirm with the data creator.
master_data.dta,manufacturing,float64,,Manufacturing-sector outcome used in industry-distribution heterogeneity analysis.,4544,0,4510,,Newly registered manufacturing enterprises classified under GB/T 4754-2002; exact scaling follows the entrepreneurial-vitality construction and must be confirmed.,,Documented in the manuscript; verify against construction code before release.
master_data.dta,service,float64,,Service-sector outcome used in industry-distribution heterogeneity analysis.,4544,0,4544,,Newly registered service-sector enterprises classified under GB/T 4754-2002; exact scaling must be confirmed.,,Documented in the manuscript; verify against construction code before release.
master_data.dta,consumserv,float64,,Consumer-services outcome used in industry-distribution heterogeneity analysis.,4544,0,4544,,"Newly registered consumer-service enterprises, classified by industry attributes and production activity; exact classification list must be supplied.",,Documented in the manuscript; verify against construction code before release.
master_data.dta,produserv,float64,,Producer-services outcome used in industry-distribution heterogeneity analysis.,4544,0,4544,,"Newly registered producer-service enterprises, classified by industry attributes and production activity; exact classification list must be supplied.",,Documented in the manuscript; verify against construction code before release.
master_data.dta,domestic_demand,float32,,Domestic-demand mechanism variable; exact construction must be documented.,4544,0,4454,,Per-capita total retail sales of consumer goods.,,Documented in the manuscript; verify against construction code before release.
master_data.dta,foreign_demand,float32,,Foreign-demand mechanism variable; exact construction must be documented.,4544,0,4454,,Per-capita merchandise exports.,,Documented in the manuscript; verify against construction code before release.
master_data.dta,talents,float64,,Talent-related mechanism variable; exact construction must be documented.,4544,0,4364,,"Share of total urban employment working in information transmission, computer services, software, scientific research and technical services.",,Documented in the manuscript; verify against construction code before release.
master_data.dta,technology,float32,,Technology-related mechanism variable; exact construction must be documented.,4544,0,4453,,Composite technology-agglomeration index based on science-and-technology expenditure as a share of fiscal expenditure and standardized patent applications per capita.,Fiscal statistics plus patent applications from the China National Intellectual Property Administration.,Documented in the manuscript; verify against construction code before release.
master_data.dta,venture,float32,,Venture-capital mechanism variable; exact construction must be documented.,3976,568,2599,,"Venture-capital investment in the sample city divided by city population, compiled from the Zero2IPO Private Equity Database.",Zero2IPO Private Equity Database.,Documented in the manuscript; verify against construction code before release.
master_data.dta,digital_finance,float64,,Digital-finance mechanism variable; exact construction must be documented.,3976,568,3827,,Peking University Digital Financial Inclusion Index.,Peking University Digital Financial Inclusion Index.,Documented in the manuscript; verify against construction code before release.
moran_results_adjacency.dta,year,int16,year,Calendar year (2009-2024 in the main panel).,16,0,16,,Calendar year; the final balanced panel covers 2009-2024.,,Documented in the manuscript; verify against construction code before release.
moran_results_adjacency.dta,moranI,float64,,Global Moran's I statistic.,16,0,16,,Global Moran's I statistic for urban entrepreneurial vitality.,,Documented in the manuscript; verify against construction code before release.
moran_results_adjacency.dta,E_I,float32,,Expected Moran's I under the null.,16,0,1,,Expected Moran's I under the null.,,Documented in the manuscript; verify against construction code before release.
moran_results_adjacency.dta,sd_I,float32,,Standard deviation of Moran's I under the null.,16,0,16,,Standard deviation of Moran's I under the null.,,Documented in the manuscript; verify against construction code before release.
moran_results_adjacency.dta,z_I,float32,,Z statistic for Moran's I.,16,0,16,,Z statistic for Moran's I.,,Documented in the manuscript; verify against construction code before release.
moran_results_adjacency.dta,p_I,float32,,P value for Moran's I.,16,0,1,,P value for Moran's I.,,Documented in the manuscript; verify against construction code before release.
moran_results_distance.dta,year,int16,year,Calendar year (2009-2024 in the main panel).,16,0,16,,Calendar year; the final balanced panel covers 2009-2024.,,Documented in the manuscript; verify against construction code before release.
moran_results_distance.dta,moranI,float64,,Global Moran's I statistic.,16,0,16,,Global Moran's I statistic for urban entrepreneurial vitality.,,Documented in the manuscript; verify against construction code before release.
moran_results_distance.dta,E_I,float32,,Expected Moran's I under the null.,16,0,1,,Expected Moran's I under the null.,,Documented in the manuscript; verify against construction code before release.
moran_results_distance.dta,sd_I,float32,,Standard deviation of Moran's I under the null.,16,0,16,,Standard deviation of Moran's I under the null.,,Documented in the manuscript; verify against construction code before release.
moran_results_distance.dta,z_I,float32,,Z statistic for Moran's I.,16,0,16,,Z statistic for Moran's I.,,Documented in the manuscript; verify against construction code before release.
moran_results_distance.dta,p_I,float32,,P value for Moran's I.,16,0,1,,P value for Moran's I.,,Documented in the manuscript; verify against construction code before release.
moran_results_geo_economic.dta,year,int16,year,Calendar year (2009-2024 in the main panel).,16,0,16,,Calendar year; the final balanced panel covers 2009-2024.,,Documented in the manuscript; verify against construction code before release.
moran_results_geo_economic.dta,moranI,float64,,Global Moran's I statistic.,16,0,16,,Global Moran's I statistic for urban entrepreneurial vitality.,,Documented in the manuscript; verify against construction code before release.
moran_results_geo_economic.dta,E_I,float32,,Expected Moran's I under the null.,16,0,1,,Expected Moran's I under the null.,,Documented in the manuscript; verify against construction code before release.
moran_results_geo_economic.dta,sd_I,float32,,Standard deviation of Moran's I under the null.,16,0,16,,Standard deviation of Moran's I under the null.,,Documented in the manuscript; verify against construction code before release.
moran_results_geo_economic.dta,z_I,float32,,Z statistic for Moran's I.,16,0,16,,Z statistic for Moran's I.,,Documented in the manuscript; verify against construction code before release.
moran_results_geo_economic.dta,p_I,float32,,P value for Moran's I.,16,0,1,,P value for Moran's I.,,Documented in the manuscript; verify against construction code before release.
placebo_test.dta,year,int16,year,Calendar year (2009-2024 in the main panel).,4544,0,16,"{""_support"": {""0"": ""Off support"", ""1"": ""On support""}, ""_treated"": {""0"": ""Untreated"", ""1"": ""Treated""}}",Calendar year; the final balanced panel covers 2009-2024.,,Documented in the manuscript; verify against construction code before release.
placebo_test.dta,city,float64,city,City identifier; no value-label mapping is embedded in the primary dataset.,4544,0,284,"{""_support"": {""0"": ""Off support"", ""1"": ""On support""}, ""_treated"": {""0"": ""Untreated"", ""1"": ""Treated""}}","Prefecture-level and above administrative unit, including prefecture-level cities, sub-provincial cities and municipalities; urban districts and county-level jurisdictions under municipal administration are included.",,Documented in the manuscript; verify against construction code before release.
placebo_test.dta,城市,str,城市,城市,4544,0,284,"{""_support"": {""0"": ""Off support"", ""1"": ""On support""}, ""_treated"": {""0"": ""Untreated"", ""1"": ""Treated""}}",,,Not fully documented in the supplied manuscript.
placebo_test.dta,pro,int32,省份代码,省份代码,4544,0,31,"{""_support"": {""0"": ""Off support"", ""1"": ""On support""}, ""_treated"": {""0"": ""Untreated"", ""1"": ""Treated""}}",,,Not fully documented in the supplied manuscript.
placebo_test.dta,省份,str,省份,省份,4544,0,31,"{""_support"": {""0"": ""Off support"", ""1"": ""On support""}, ""_treated"": {""0"": ""Untreated"", ""1"": ""Treated""}}",,,Not fully documented in the supplied manuscript.
placebo_test.dta,所属地域,str,所属地域,所属地域,4544,0,3,"{""_support"": {""0"": ""Off support"", ""1"": ""On support""}, ""_treated"": {""0"": ""Untreated"", ""1"": ""Treated""}}",,,Not fully documented in the supplied manuscript.
placebo_test.dta,胡焕庸线,str,胡焕庸线,胡焕庸线,4544,0,2,"{""_support"": {""0"": ""Off support"", ""1"": ""On support""}, ""_treated"": {""0"": ""Untreated"", ""1"": ""Treated""}}",,,Not fully documented in the supplied manuscript.
placebo_test.dta,entreact,float32,缩尾后每百人新创企业数,Entrepreneurial vitality outcome: winsorized number of newly established firms per 100 people.,4544,0,4450,"{""_support"": {""0"": ""Off support"", ""1"": ""On support""}, ""_treated"": {""0"": ""Untreated"", ""1"": ""Treated""}}","Number of newly registered firms per 100 residents in each city-year, after excluding invalid firm records and winsorizing continuous variables at the 1st and 99th percentiles.",China Industrial and Commercial Registered Enterprise Database; population denominator from city statistical sources.,Documented in the manuscript; verify against construction code before release.
placebo_test.dta,替换被解释变量1,float32,缩尾后新创企业对数,缩尾后新创企业对数,4544,0,4330,"{""_support"": {""0"": ""Off support"", ""1"": ""On support""}, ""_treated"": {""0"": ""Untreated"", ""1"": ""Treated""}}",,,Not fully documented in the supplied manuscript.
placebo_test.dta,替换被解释变量2,float32,新创企业数与行政区域面积的比值,新创企业数与行政区域面积的比值,4544,0,4451,"{""_support"": {""0"": ""Off support"", ""1"": ""On support""}, ""_treated"": {""0"": ""Untreated"", ""1"": ""Treated""}}",,,Not fully documented in the supplied manuscript.
placebo_test.dta,最早试点年份,float64,创新型产业集群试点时间,创新型产业集群试点时间,1248,3296,4,"{""_support"": {""0"": ""Off support"", ""1"": ""On support""}, ""_treated"": {""0"": ""Untreated"", ""1"": ""Treated""}}",,,Not fully documented in the supplied manuscript.
placebo_test.dta,treat,int8,Treat,Indicator for cities ever included in the pilot.,4544,0,2,"{""_support"": {""0"": ""Off support"", ""1"": ""On support""}, ""_treated"": {""0"": ""Untreated"", ""1"": ""Treated""}}",Equals 1 if a city was ever designated as an innovative industrial cluster pilot and 0 otherwise.,Official designation documents and policy announcements of China's Ministry of Science and Technology.,Documented in the manuscript; verify against construction code before release.
placebo_test.dta,post,int8,Post,Post-treatment-period indicator.,4544,0,2,"{""_support"": {""0"": ""Off support"", ""1"": ""On support""}, ""_treated"": {""0"": ""Untreated"", ""1"": ""Treated""}}","Equals 1 in the designation year and all subsequent years for a treated city, and 0 otherwise.",Constructed from Ministry of Science and Technology pilot designation year.,Documented in the manuscript; verify against construction code before release.
placebo_test.dta,did,int8,DID,Difference-in-differences treatment indicator (treat x post).,4544,0,2,"{""_support"": {""0"": ""Off support"", ""1"": ""On support""}, ""_treated"": {""0"": ""Untreated"", ""1"": ""Treated""}}",Main policy indicator equal to treat multiplied by post.,Constructed from treat and post.,Documented in the manuscript; verify against construction code before release.
placebo_test.dta,policy,float32,,"Event time relative to the first pilot year, top- and bottom-coded at +/-5 in the analysis code.",4544,0,11,"{""_support"": {""0"": ""Off support"", ""1"": ""On support""}, ""_treated"": {""0"": ""Untreated"", ""1"": ""Treated""}}",,,Not fully documented in the supplied manuscript.
placebo_test.dta,pre5,float32,,Event-time indicator for five or more years before treatment.,4544,0,2,"{""_support"": {""0"": ""Off support"", ""1"": ""On support""}, ""_treated"": {""0"": ""Untreated"", ""1"": ""Treated""}}",,,Not fully documented in the supplied manuscript.
placebo_test.dta,pre4,float32,,Event-time indicator for four years before treatment.,4544,0,2,"{""_support"": {""0"": ""Off support"", ""1"": ""On support""}, ""_treated"": {""0"": ""Untreated"", ""1"": ""Treated""}}",,,Not fully documented in the supplied manuscript.
placebo_test.dta,pre3,float32,,Event-time indicator for three years before treatment.,4544,0,2,"{""_support"": {""0"": ""Off support"", ""1"": ""On support""}, ""_treated"": {""0"": ""Untreated"", ""1"": ""Treated""}}",,,Not fully documented in the supplied manuscript.
placebo_test.dta,pre2,float32,,Event-time indicator for two years before treatment.,4544,0,2,"{""_support"": {""0"": ""Off support"", ""1"": ""On support""}, ""_treated"": {""0"": ""Untreated"", ""1"": ""Treated""}}",,,Not fully documented in the supplied manuscript.
placebo_test.dta,pre1,float32,,Event-time indicator for one year before treatment; reference period in the event-study specification.,4544,0,2,"{""_support"": {""0"": ""Off support"", ""1"": ""On support""}, ""_treated"": {""0"": ""Untreated"", ""1"": ""Treated""}}",,,Not fully documented in the supplied manuscript.
placebo_test.dta,current,float32,,Event-time indicator for the treatment year.,4544,0,2,"{""_support"": {""0"": ""Off support"", ""1"": ""On support""}, ""_treated"": {""0"": ""Untreated"", ""1"": ""Treated""}}",,,Not fully documented in the supplied manuscript.
placebo_test.dta,post1,float32,,Event-time indicator for one year after treatment.,4544,0,2,"{""_support"": {""0"": ""Off support"", ""1"": ""On support""}, ""_treated"": {""0"": ""Untreated"", ""1"": ""Treated""}}",,,Not fully documented in the supplied manuscript.
placebo_test.dta,post2,float32,,Event-time indicator for two years after treatment.,4544,0,2,"{""_support"": {""0"": ""Off support"", ""1"": ""On support""}, ""_treated"": {""0"": ""Untreated"", ""1"": ""Treated""}}",,,Not fully documented in the supplied manuscript.
placebo_test.dta,post3,float32,,Event-time indicator for three years after treatment.,4544,0,2,"{""_support"": {""0"": ""Off support"", ""1"": ""On support""}, ""_treated"": {""0"": ""Untreated"", ""1"": ""Treated""}}",,,Not fully documented in the supplied manuscript.
placebo_test.dta,post4,float32,,Event-time indicator for four years after treatment.,4544,0,2,"{""_support"": {""0"": ""Off support"", ""1"": ""On support""}, ""_treated"": {""0"": ""Untreated"", ""1"": ""Treated""}}",,,Not fully documented in the supplied manuscript.
placebo_test.dta,post5,float32,,Event-time indicator for five or more years after treatment.,4544,0,2,"{""_support"": {""0"": ""Off support"", ""1"": ""On support""}, ""_treated"": {""0"": ""Untreated"", ""1"": ""Treated""}}",,,Not fully documented in the supplied manuscript.
placebo_test.dta,gdp,float64,插值后GDP的对数,Logarithm of interpolated GDP.,4544,0,4191,"{""_support"": {""0"": ""Off support"", ""1"": ""On support""}, ""_treated"": {""0"": ""Untreated"", ""1"": ""Treated""}}",Natural logarithm of city GDP.,"China City Statistical Yearbook (2009-2024), supplemented by prefecture-level statistical yearbooks and official statistical bulletins.",Documented in the manuscript; verify against construction code before release.
placebo_test.dta,fin,float64,插值后金融机构贷款余额与GDP的对数,"Logarithm of interpolated financial-institution loan balance relative to GDP, as labelled in the supplied Stata file.",4544,0,4453,"{""_support"": {""0"": ""Off support"", ""1"": ""On support""}, ""_treated"": {""0"": ""Untreated"", ""1"": ""Treated""}}",Financial development measured in the manuscript as outstanding loans of financial institutions divided by city GDP at year-end.,"China City Statistical Yearbook (2009-2024), supplemented by prefecture-level statistical yearbooks and official statistical bulletins.","Conflict: manuscript defines loans/GDP, while the embedded Stata label refers to an interpolated logarithmic measure. Confirm the actual transformation."
placebo_test.dta,stru,float32,产业结构升级,Industrial structure upgrading measure; formula and source must be documented before publication.,4544,0,3319,"{""_support"": {""0"": ""Off support"", ""1"": ""On support""}, ""_treated"": {""0"": ""Untreated"", ""1"": ""Treated""}}","Industrial upgrading index: sum across the primary, secondary and tertiary sectors of each sector's value-added share multiplied by sector rank 1, 2 or 3.","China City Statistical Yearbook (2009-2024), supplemented by prefecture-level statistical yearbooks and official statistical bulletins.",Documented in the manuscript; verify against construction code before release.
placebo_test.dta,wage,float32,职工平均工资的对数,Logarithm of average employee wage.,4544,0,4401,"{""_support"": {""0"": ""Off support"", ""1"": ""On support""}, ""_treated"": {""0"": ""Untreated"", ""1"": ""Treated""}}",Natural logarithm of the average wage of urban employees.,"China City Statistical Yearbook (2009-2024), supplemented by prefecture-level statistical yearbooks and official statistical bulletins.",Documented in the manuscript; verify against construction code before release.
placebo_test.dta,gov,float64,财政预算支出与财政预算收入的支出比值,Ratio of fiscal budget expenditure to fiscal budget revenue.,4544,0,4452,"{""_support"": {""0"": ""Off support"", ""1"": ""On support""}, ""_treated"": {""0"": ""Untreated"", ""1"": ""Treated""}}",Fiscal pressure: local general budget expenditure divided by local general budget revenue.,"China City Statistical Yearbook (2009-2024), supplemented by prefecture-level statistical yearbooks and official statistical bulletins.",Documented in the manuscript; verify against construction code before release.
placebo_test.dta,human,float32,每万人在校大学生人数,"Number of enrolled university students per 10,000 people.",4544,0,4452,"{""_support"": {""0"": ""Off support"", ""1"": ""On support""}, ""_treated"": {""0"": ""Untreated"", ""1"": ""Treated""}}",Human capital measured in the manuscript as the number of university students per million residents.,"China City Statistical Yearbook (2009-2024), supplemented by prefecture-level statistical yearbooks and official statistical bulletins.","Conflict: manuscript states university students per million residents, while the embedded Stata label states per 10,000 residents. Confirm the denominator."
placebo_test.dta,pubservice,float64,插值后医院床位数的对数,Logarithm of interpolated hospital-bed count.,4544,0,4131,"{""_support"": {""0"": ""Off support"", ""1"": ""On support""}, ""_treated"": {""0"": ""Untreated"", ""1"": ""Treated""}}",Natural logarithm of the number of hospital beds.,"China City Statistical Yearbook (2009-2024), supplemented by prefecture-level statistical yearbooks and official statistical bulletins.",Documented in the manuscript; verify against construction code before release.
placebo_test.dta,tmp,float32,,Definition not supplied; complete before publication.,4544,0,4544,"{""_support"": {""0"": ""Off support"", ""1"": ""On support""}, ""_treated"": {""0"": ""Untreated"", ""1"": ""Treated""}}",,,Not fully documented in the supplied manuscript.
placebo_test.dta,_n3,float64,psmatch2: ID of nearest neighbor nr. 3,psmatch2: ID of nearest neighbor nr. 3,4163,381,1377,"{""_support"": {""0"": ""Off support"", ""1"": ""On support""}, ""_treated"": {""0"": ""Untreated"", ""1"": ""Treated""}}",,,Not fully documented in the supplied manuscript.
placebo_test.dta,_n4,float64,psmatch2: ID of nearest neighbor nr. 4,psmatch2: ID of nearest neighbor nr. 4,4145,399,1365,"{""_support"": {""0"": ""Off support"", ""1"": ""On support""}, ""_treated"": {""0"": ""Untreated"", ""1"": ""Treated""}}",,,Not fully documented in the supplied manuscript.
placebo_test.dta,_pscore,float64,psmatch2: Propensity Score,psmatch2: Propensity Score,4543,1,4543,"{""_support"": {""0"": ""Off support"", ""1"": ""On support""}, ""_treated"": {""0"": ""Untreated"", ""1"": ""Treated""}}",,,Not fully documented in the supplied manuscript.
placebo_test.dta,_treated,float64,psmatch2: Treatment assignment,psmatch2: Treatment assignment,4543,1,2,"{""_support"": {""0"": ""Off support"", ""1"": ""On support""}, ""_treated"": {""0"": ""Untreated"", ""1"": ""Treated""}}",,,Not fully documented in the supplied manuscript.
placebo_test.dta,_support,float64,psmatch2: Common support,psmatch2: Common support,4543,1,2,"{""_support"": {""0"": ""Off support"", ""1"": ""On support""}, ""_treated"": {""0"": ""Untreated"", ""1"": ""Treated""}}",,,Not fully documented in the supplied manuscript.
placebo_test.dta,_weight,float64,psmatch2: weight of matched controls,psmatch2: weight of matched controls,1994,2550,52,"{""_support"": {""0"": ""Off support"", ""1"": ""On support""}, ""_treated"": {""0"": ""Untreated"", ""1"": ""Treated""}}",,,Not fully documented in the supplied manuscript.
placebo_test.dta,_entreact,float64,psmatch2: value of entreact of match(es),psmatch2: value of entreact of match(es),4195,349,1380,"{""_support"": {""0"": ""Off support"", ""1"": ""On support""}, ""_treated"": {""0"": ""Untreated"", ""1"": ""Treated""}}",,,Not fully documented in the supplied manuscript.
placebo_test.dta,_id,int16,psmatch2: Identifier (ID),psmatch2: Identifier (ID),4544,0,4544,"{""_support"": {""0"": ""Off support"", ""1"": ""On support""}, ""_treated"": {""0"": ""Untreated"", ""1"": ""Treated""}}",,,Not fully documented in the supplied manuscript.
placebo_test.dta,_n1,float64,psmatch2: ID of nearest neighbor nr. 1,psmatch2: ID of nearest neighbor nr. 1,4195,349,1375,"{""_support"": {""0"": ""Off support"", ""1"": ""On support""}, ""_treated"": {""0"": ""Untreated"", ""1"": ""Treated""}}",,,Not fully documented in the supplied manuscript.
placebo_test.dta,_n2,float64,psmatch2: ID of nearest neighbor nr. 2,psmatch2: ID of nearest neighbor nr. 2,4188,356,1371,"{""_support"": {""0"": ""Off support"", ""1"": ""On support""}, ""_treated"": {""0"": ""Untreated"", ""1"": ""Treated""}}",,,Not fully documented in the supplied manuscript.
placebo_test.dta,_nn,float32,psmatch2: # matched neighbors,psmatch2: # matched neighbors,4195,349,2,"{""_support"": {""0"": ""Off support"", ""1"": ""On support""}, ""_treated"": {""0"": ""Untreated"", ""1"": ""Treated""}}",,,Not fully documented in the supplied manuscript.
